id,Цена,Год,Площадь,Класс,Количество_больниц,Количество_школ,Количество_парков,Количество_метро
119,16094456.85221492,2017,83.87036426101031,Люкс,5,7,5,3
120,5627254.19265299,2001,38.9836484093689,Стандарт,1,3,1,1
121,2851292.708457315,1977,24.915770272586226,Эконом,1,1,0,1
122,2788860.7179263323,1987,23.19154436484272,Эконом,1,2,0,1
123,15980033.791857382,2023,83.91151881035607,Люкс,5,6,6,2
124,2766468.074351818,1976,24.96661983763181,Эконом,0,1,0,1
125,15900313.601873714,2021,79.34451398328673,Люкс,7,7,6,3
126,14926691.163940974,2023,76.12314765700965,Люкс,6,6,5,3
127,16744467.449487658,2021,88.12599322059205,Люкс,7,6,5,2
128,18115595.704817582,2020,94.2916477766286,Люкс,6,7,7,3
129,5490945.564275317,2006,36.809385343342804,Стандарт,3,2,1,1
130,18026969.252460975,2023,93.8290676924303,Люкс,7,7,6,3
131,16472264.224446576,2020,86.32334574337341,Люкс,6,6,6,2
132,2800540.5760299605,1979,24.393083335124544,Эконом,1,1,0,1
133,14923554.964740993,2023,75.90671099813036,Люкс,5,5,7,3
134,15601330.015367504,2017,80.4571770068425,Люкс,7,5,5,3
135,3347121.694700726,1990,29.696801579856874,Эконом,0,2,0,1
136,5654364.230783912,2007,38.26014183997677,Стандарт,2,3,1,1
137,15130692.099839779,2022,75.20894299657922,Люкс,5,7,7,3
138,5009382.146660146,2006,35.89061609819171,Стандарт,1,1,1,1
139,3231688.0063567534,1951,28.63745407664726,Эконом,1,1,0,1
140,16922217.267852485,2022,90.36345200435001,Люкс,6,5,6,2
141,5462247.334729875,2006,37.545822687636004,Стандарт,1,3,1,1
142,5522699.387271677,2004,37.962823508398394,Стандарт,1,3,1,1
143,5801700.877393946,2003,38.38467035071427,Стандарт,3,3,1,1
144,17035945.778098974,2017,89.16979684047652,Люкс,6,6,7,2
145,5570400.456857787,2001,39.64920389625957,Стандарт,1,2,1,1
146,3292787.92482897,1973,29.23610764173303,Эконом,1,1,0,1
147,3137925.163927746,1990,27.805366102872075,Эконом,1,1,0,1
148,5434063.889014574,2003,39.60725974874743,Стандарт,1,1,1,1
149,5710546.066961674,2006,39.667484162589005,Стандарт,3,1,1,1
150,17328620.852223575,2019,92.96045610603828,Люкс,7,5,5,2
151,5470206.268590566,2003,35.74123814660762,Стандарт,3,3,1,1
152,14988257.66039669,2021,77.56726312714022,Люкс,5,6,6,2
153,5792370.815035916,2004,38.23110876179471,Стандарт,3,3,1,1
154,3003335.7131293,1982,27.50111279658175,Эконом,0,1,0,1
155,5902573.48958827,2006,39.45169459634285,Стандарт,3,3,1,1
156,3458251.4904727945,1972,29.787097148337455,Эконом,1,2,0,1
157,3200638.719966583,1955,29.406734549782534,Эконом,0,1,0,1
158,5224095.838476891,2010,35.763946743721384,Стандарт,2,2,1,1
159,5556457.527351922,2004,36.38074277849013,Стандарт,3,3,1,1
160,2795310.5247317967,1989,24.382900432319857,Эконом,1,1,0,1
161,2427432.04267578,1954,20.532995548439416,Эконом,0,2,0,1
162,3369043.041233823,1950,29.995846612868846,Эконом,1,1,0,1
163,5164996.55876047,2003,36.224951850651486,Стандарт,1,2,1,1
164,5428545.854556399,2000,39.47607214875387,Стандарт,1,1,1,1
165,5481905.521169186,2005,37.94362361921679,Стандарт,1,3,1,1
166,5680372.408882046,2006,38.37237049327439,Стандарт,2,3,1,1
167,3076623.4525022707,1950,26.035010112862707,Эконом,1,2,0,1
168,2310592.9725733288,1985,18.43567304394289,Эконом,1,2,0,1
169,3137815.712977724,1952,27.660844133338976,Эконом,0,2,0,1
170,5741149.327323882,2009,37.80871531909057,Стандарт,3,3,1,1
171,2445611.9436421636,1974,20.865429530424823,Эконом,1,1,0,1
172,15992432.68723534,2019,84.26177129269995,Люкс,6,5,5,3
173,3405544.435437279,1950,29.283434075726674,Эконом,1,2,0,1
174,5400276.329027615,2005,38.268681812937665,Стандарт,1,2,1,1
175,17360972.95299681,2020,90.09645242582158,Люкс,7,5,7,3
176,5454232.872964446,2005,37.565120170078586,Стандарт,1,3,1,1
177,5431725.260576896,2004,36.3961995443712,Стандарт,3,2,1,1
178,2767607.9670221405,1979,23.018258454861567,Эконом,1,2,0,1
179,2758834.9644985944,1957,22.974414972451797,Эконом,1,2,0,1
180,5428870.073271748,2001,38.56569418871186,Стандарт,1,2,1,1
181,5533380.232396011,2006,38.32067630676322,Стандарт,3,1,1,1
182,18162027.457189873,2021,95.67960511201548,Люкс,7,5,7,3
183,5086796.4791582925,2001,35.601802781213806,Стандарт,1,2,1,1
184,5897165.145260174,2001,39.25955248634423,Стандарт,3,3,1,1
185,3283619.323142156,1986,29.325537677311573,Эконом,1,1,0,1
186,2241765.4004473486,1959,18.873847083643778,Эконом,0,2,0,1
187,2881275.1930671083,1953,25.066441107228663,Эконом,0,2,0,1
188,2139205.1819635616,1974,18.845105000184418,Эконом,0,1,0,1
189,5428758.996480424,2007,36.51912544784827,Стандарт,3,2,1,1
190,5645635.173655058,2008,39.21423387873673,Стандарт,3,1,1,1
191,15964682.124509957,2017,83.91188750776243,Люкс,5,6,5,3
192,16367802.647558222,2023,85.725941301799,Люкс,6,5,7,2
193,3336352.3611351904,1974,29.651904983451782,Эконом,1,1,0,1
194,3268356.3558257176,1979,28.125431831057625,Эконом,1,2,0,1
195,18191911.84063916,2018,99.83257685694933,Люкс,5,5,6,2
196,14407517.898786582,2020,72.52611370768221,Люкс,5,6,7,2
197,14758890.646051852,2022,73.97642877791193,Люкс,7,6,5,3
198,15424419.828911057,2019,80.40318826137616,Люкс,6,5,5,3
199,2297579.1673025796,1990,19.305593836803737,Эконом,1,1,0,1
200,3386213.7188181393,1960,29.317777202885654,Эконом,1,2,0,1
201,3040355.2723080553,1951,25.890336860724965,Эконом,1,2,0,1
202,5180199.057156411,2008,37.22298434113989,Стандарт,1,1,1,1
203,2990072.869386498,1953,26.379953234677572,Эконом,1,1,0,1
204,5307916.5097104395,2007,36.466513665040075,Стандарт,3,1,1,1
205,5590619.36534581,2000,39.61226145245976,Стандарт,1,2,1,1
206,2426981.0514481077,1950,20.695926673266957,Эконом,1,1,0,1
207,14228338.856342519,2020,71.33271338718886,Люкс,7,5,6,2
208,5664833.291934862,2000,39.25798660667115,Стандарт,1,3,1,1
209,5281748.569669744,2002,36.093558802776755,Стандарт,3,1,1,1
210,2390778.350874309,1952,20.400672936136235,Эконом,0,2,0,1
211,15289347.806067284,2018,77.31522275614923,Люкс,7,6,5,3
212,2802617.685537078,1963,24.260995021233537,Эконом,0,2,0,1
213,3090102.5751110977,1971,28.259310690842547,Эконом,0,1,0,1
214,5458556.15053513,2004,35.65727388380928,Стандарт,3,3,1,1
215,2645989.10881826,1977,23.820890531722114,Эконом,0,1,0,1
216,2780937.9380634003,1989,24.11254333759804,Эконом,1,1,0,1
217,5389433.486928488,2004,35.968853910176804,Стандарт,3,2,1,1
218,15186926.56380734,2019,76.80440949807777,Люкс,7,6,6,2
219,5928698.760068392,2007,39.342259068381004,Стандарт,3,3,1,1
220,5385852.887041727,2009,37.02077268085962,Стандарт,2,2,1,1
221,5623971.452871798,2004,36.94772946883401,Стандарт,3,3,1,1
222,5431086.469008944,2010,39.49855809154842,Стандарт,1,1,1,1
223,5674490.0937922,2007,39.400221370166435,Стандарт,3,1,1,1
224,5242866.432526919,2003,36.70579125435643,Стандарт,1,2,1,1
225,5431596.933876359,2008,36.48233811172605,Стандарт,3,2,1,1
226,5669918.751961077,2002,38.25557302962008,Стандарт,3,2,1,1
227,5185520.602251383,2006,36.455860302313845,Стандарт,2,1,1,1
228,18503950.82048508,2018,98.78608156032126,Люкс,6,7,5,3
229,5330933.978198074,2006,36.43568220545826,Стандарт,2,2,1,1
230,2437660.0448553036,1962,20.746554619371643,Эконом,0,2,0,1
231,2711484.1211711364,1961,23.597818468643652,Эконом,0,2,0,1
232,3140101.830386605,1984,26.758058965916472,Эконом,1,2,0,1
233,16581567.289097903,2021,83.9708647375035,Люкс,6,7,7,3
234,18319110.495134585,2018,97.490526346948,Люкс,6,6,6,3
235,15793272.174221603,2017,80.79091983690753,Люкс,7,5,7,2
236,5317880.589001764,2002,37.383316340874245,Стандарт,1,2,1,1
237,5521685.303571617,2009,38.116346614849064,Стандарт,3,1,1,1
238,2485956.311842908,1971,22.059940444851136,Эконом,0,1,0,1
239,18658850.654392056,2018,98.93716306805983,Люкс,5,7,7,3
240,16469654.72286123,2018,86.35111178161898,Люкс,6,5,6,3
241,18495786.225298323,2023,99.76816519654393,Люкс,6,6,6,2
242,5380905.04646373,2004,38.00138171542381,Стандарт,1,2,1,1
243,5341717.674215555,2001,35.75706533544997,Стандарт,3,2,1,1
244,5603903.719367458,2003,38.751811347457334,Стандарт,3,1,1,1
245,5713676.3099249825,2009,39.81314297237012,Стандарт,2,2,1,1
246,2414093.335755762,1955,20.55105888753032,Эконом,0,2,0,1
247,16038478.548625723,2018,85.35809094576477,Люкс,5,6,5,2
248,5568076.03882451,2007,38.69110539170691,Стандарт,2,2,1,1
249,3033348.78764037,1977,26.773699789621055,Эконом,1,1,0,1
250,5375254.367100456,2009,36.08924538461609,Стандарт,2,3,1,1
251,5674216.6668838505,2007,39.40915303761201,Стандарт,2,2,1,1
252,16917158.566176012,2017,88.17231942327632,Люкс,7,5,7,2
253,5609446.547407261,2005,38.77802120600138,Стандарт,2,2,1,1
254,5394415.780526648,2003,36.92368849780412,Стандарт,2,2,1,1
255,2725408.3794297283,1990,22.531500074502183,Эконом,1,2,0,1
256,2902492.7435027706,1989,24.389897931907463,Эконом,1,2,0,1
257,14235998.935162427,2022,71.45108665659315,Люкс,6,5,7,2
258,5481930.414857663,2008,37.8372987811957,Стандарт,1,3,1,1
259,17327229.871284764,2017,90.97107631401744,Люкс,7,6,5,3
260,2588307.484197003,1960,21.238419970685204,Эконом,1,2,0,1
261,2779453.5064046644,1990,23.018300073466147,Эконом,1,2,0,1
262,2304417.6206543474,1984,20.38234159950324,Эконом,0,1,0,1
263,2823025.595642385,1970,24.475848156359653,Эконом,0,2,0,1
264,5444569.420184621,2006,37.47221766144941,Стандарт,3,1,1,1
265,2213312.8625178686,1968,18.52645306954025,Эконом,0,2,0,1
266,14975766.622806938,2018,78.34429054182283,Люкс,6,5,5,2
267,2545819.6823724154,1953,22.785307482485727,Эконом,0,1,0,1
268,17343475.879381754,2023,92.08044659252698,Люкс,7,5,5,3
269,5878428.334890222,2007,39.94217233382611,Стандарт,3,2,1,1
270,5597613.173747446,2000,37.64263804720049,Стандарт,3,2,1,1
271,5428723.297081587,2009,37.29784686148396,Стандарт,2,2,1,1
272,5475356.783433727,2006,39.66895144537755,Стандарт,1,1,1,1
273,5731614.091893187,2002,37.78352749273097,Стандарт,3,3,1,1
274,5342857.06129781,2000,35.806047345227775,Стандарт,3,2,1,1
275,2797017.418678227,1954,23.34436692208834,Эконом,1,2,0,1
276,2306181.9086778588,1982,19.277892988806588,Эконом,1,1,0,1
277,3162283.9506882923,1979,29.072676858101097,Эконом,0,1,0,1
278,5590798.315071236,2010,37.658408253359895,Стандарт,3,2,1,1
279,3017287.093724083,1982,26.380038943428993,Эконом,0,2,0,1
280,14472003.08786232,2018,72.94674118502053,Люкс,7,6,5,2
281,5318482.551706287,2004,35.550691673880884,Стандарт,2,3,1,1
282,15608420.766530335,2017,81.64728651832368,Люкс,5,7,5,2
283,2948209.7672262266,1962,24.8714234371278,Эконом,1,2,0,1
284,16321018.685276676,2017,85.29064834428743,Люкс,5,7,6,2
285,16007434.624160968,2021,82.06443495192596,Люкс,5,7,7,2
286,2755437.244131529,1984,22.84594519895377,Эконом,1,2,0,1
287,5584249.067886085,2003,37.745718805506584,Стандарт,3,2,1,1
288,5162081.982112162,2002,36.09272316028288,Стандарт,2,1,1,1
289,3256727.9939857665,1971,29.769868584386447,Эконом,0,1,0,1
290,5117693.815849527,2008,35.795974472917635,Стандарт,2,1,1,1
291,124,2017,82.85880157275525,Люкс,6,6,7,2
292,18513264.202687867,2023,98.84752874563355,Люкс,7,5,7,2
293,5590066.028468926,2006,37.50056098425233,Стандарт,2,3,1,1
294,5813972.817733324,2010,39.36966019817094,Стандарт,3,2,1,1
295,3203655.5619245884,1973,28.40904032852709,Эконом,0,2,0,1
296,3253546.1659010686,1965,28.929563552756,Эконом,1,1,0,1
297,5552465.387500535,2007,39.394625665375024,Стандарт,1,2,1,1
298,5107500.653737578,2006,36.53389796088519,Стандарт,1,1,1,1
299,5760057.392848088,2000,39.06497265986392,Стандарт,3,2,1,1
300,2367281.512945312,1975,18.942386204964095,Эконом,1,2,0,1
301,3221666.071104858,1955,27.422776428024942,Эконом,1,2,0,1
302,16231289.621292885,2020,84.62918311326455,Люкс,5,7,5,3
303,18196685.78093215,2020,96.90668882695095,Люкс,7,6,6,2
304,5875972.629825068,2007,39.883210491893124,Стандарт,3,2,1,1
305,15690564.211763863,2021,82.22616687441896,Люкс,5,6,6,2
306,2925838.4264524914,1977,24.73269978650607,Эконом,1,2,0,1
307,2441037.049964091,1952,19.73048603886759,Эконом,1,2,0,1
308,5286701.246286354,2003,36.22983356195067,Стандарт,3,1,1,1
309,18423847.264563013,2022,95.27441999300963,Люкс,7,7,7,3
310,2956425.471257762,1979,25.77073895800092,Эконом,1,1,0,1
311,2608035.459553227,1971,22.473701465390015,Эконом,0,2,0,1
312,18425777.133633852,2023,99.30791610587626,Люкс,5,5,7,3
313,17928432.803030554,2018,96.98583454475832,Люкс,5,6,6,2
314,2527308.2958523445,1972,20.734789153360527,Эконом,1,2,0,1
315,15115370.95958775,2018,76.14623897305724,Люкс,7,5,6,3
316,2971765.32106871,1956,25.97814167828407,Эконом,0,2,0,1
317,17091472.360869892,2021,89.45933749557437,Люкс,7,5,7,2
318,5631958.667248527,2004,38.99426734015363,Стандарт,1,3,1,1
319,16237021.338858051,2021,83.69516397704326,Люкс,7,6,6,2
320,14601044.978413124,2023,71.97480550858705,Люкс,5,7,7,3
321,5434590.857718333,2001,36.41417893173972,Стандарт,2,3,1,1
322,2678836.314823714,1956,22.07137395851752,Эконом,1,2,0,1
323,2828133.36789346,1978,23.598365399169023,Эконом,1,2,0,1
324,15451362.538884707,2021,76.4263086648702,Люкс,6,7,7,3
325,5545028.839915868,2005,38.31019370430746,Стандарт,2,2,1,1
326,4992522.669195442,2006,35.66326707971257,Стандарт,1,1,1,1
327,5381237.356439384,2002,36.83711068027277,Стандарт,2,2,1,1
328,5485805.235356165,2006,39.66304769631802,Стандарт,1,1,1,1
329,2205665.1276957653,1990,18.277818898257625,Эконом,0,2,0,1
330,16883785.97404751,2022,88.15869822412502,Люкс,6,6,7,2
331,14957975.991776241,2023,77.3475212286393,Люкс,6,6,5,2
332,16306134.655150337,2020,85.24979651305318,Люкс,7,5,5,3
333,2971672.6831143512,1951,26.170953209787385,Эконом,0,2,0,1
334,340,2020,76.04903928561221,Люкс,7,6,6,2
335,18197432.086050313,2018,95.7866556019487,Люкс,7,7,6,2
336,5517292.694856868,2002,38.07919423851863,Стандарт,3,1,1,1
337,2840124.9755263166,1951,24.85438215741231,Эконом,1,1,0,1
338,5115558.558700121,2009,35.8005496971793,Стандарт,2,1,1,1
339,15916330.016330786,2018,82.61944629563638,Люкс,6,5,7,2
340,2746491.5852785734,1980,22.953936639238165,Эконом,1,2,0,1
341,3148260.3814557916,1973,27.755115301898066,Эконом,1,1,0,1
342,14778210.144869803,2021,72.05932782579607,Люкс,7,7,6,3
343,5299865.156303502,2002,35.364377555395656,Стандарт,2,3,1,1
344,18298788.21758063,2022,98.5936204673561,Люкс,6,5,7,2
345,17174382.367813386,2017,89.93848529139876,Люкс,7,5,7,2
346,5065405.52251619,2004,36.19633418897261,Стандарт,1,1,1,1
347,3069757.4337779433,1966,26.16168782805248,Эконом,1,2,0,1
348,16597784.467216622,2017,87.09353608582606,Люкс,5,6,6,3
349,2653173.286821271,1986,21.751499549311912,Эконом,1,2,0,1
350,2248735.505321623,1987,18.968505208078636,Эконом,1,1,0,1
351,4957826.232501493,2002,35.35203953661057,Стандарт,1,1,1,1
352,5546765.198644925,2010,39.20875425139204,Стандарт,1,2,1,1
353,2969744.1830001115,1968,26.071356720898038,Эконом,0,2,0,1
354,5521348.022498737,2000,39.049224462577584,Стандарт,2,1,1,1
355,3142922.734272203,1966,27.761127764549443,Эконом,1,1,0,1
356,5629020.840369495,2001,37.1823585084662,Стандарт,3,3,1,1
357,5217434.303799541,2001,36.597790839560496,Стандарт,2,1,1,1
358,2889484.0588508323,1970,26.191067454223155,Эконом,0,1,0,1
359,5050459.547948936,2002,36.02473391774448,Стандарт,1,1,1,1
360,2502112.517703077,1969,20.33405044177446,Эконом,1,2,0,1
361,5283484.200514386,2006,36.33002074459881,Стандарт,2,2,1,1
362,2427210.3172549303,1956,21.518911965549567,Эконом,0,1,0,1
363,2481186.6260281564,1958,21.05054089892075,Эконом,1,1,0,1
364,16962350.20641797,2020,90.5941396649308,Люкс,5,7,5,2
365,3095295.972628523,1957,27.43138761133026,Эконом,1,1,0,1
366,14926990.07709769,2017,75.03971214216709,Люкс,5,6,7,3
367,5702291.172657366,2003,39.638121209124705,Стандарт,3,1,1,1
368,5118733.651931917,2006,35.78972868266874,Стандарт,1,2,1,1
369,17613833.90482252,2019,90.98352801122074,Люкс,7,7,7,2
370,16525985.500291456,2020,85.81477782996346,Люкс,6,7,5,3
371,5531487.830320156,2000,38.10625098875807,Стандарт,1,3,1,1
372,2885198.456794314,1955,26.064974880659463,Эконом,0,1,0,1
373,5691251.734719952,2010,39.672382699565034,Стандарт,2,2,1,1
374,3172812.8657859066,1979,27.934312711452776,Эконом,1,1,0,1
375,15594172.23035868,2021,79.34285798665358,Люкс,7,7,5,2
376,5548964.640207074,2008,39.24183363649409,Стандарт,1,2,1,1
377,16628282.119195199,2018,87.5086024211287,Люкс,5,5,7,3
378,5696115.879443345,2010,39.69763272102665,Стандарт,1,3,1,1
379,2455156.110085432,1954,20.95305426323236,Эконом,0,2,0,1
380,14376650.312887993,2023,70.50626784979633,Люкс,6,7,7,2
381,5771897.755984209,2002,39.43077456490372,Стандарт,2,3,1,1
382,3192781.2347138748,1961,28.317768216728016,Эконом,1,1,0,1
383,2886252.6245866786,1972,25.209046672184506,Эконом,1,1,0,1
384,16582837.67915656,2020,88.21232074364136,Люкс,6,6,5,2
385,2959651.1882287534,1958,25.93123610124919,Эконом,1,1,0,1
386,17024620.990103535,2017,88.88316203395755,Люкс,6,6,7,2
387,2596231.83729677,1989,23.424504332651544,Эконом,0,1,0,1
388,5167084.344751061,2006,35.32108307340755,Стандарт,2,2,1,1
389,16626157.305915432,2017,86.21228724578773,Люкс,7,6,6,2
390,2891117.606268753,1970,26.139324923325535,Эконом,0,1,0,1
391,14430007.106633883,2022,72.83135932512306,Люкс,5,6,7,2
392,14283611.997624114,2019,72.66823385050537,Люкс,6,5,5,3
393,18384608.707148664,2019,96.96927735130721,Люкс,5,7,7,3
394,5606721.98617874,2008,37.983878434121905,Стандарт,3,2,1,1
395,5868964.218064137,2001,38.906396138795024,Стандарт,3,3,1,1
396,16804535.762415282,2021,89.49580304438948,Люкс,5,7,5,2
397,2535190.607403188,1975,22.71598399389208,Эконом,0,1,0,1
398,2580806.2443253114,1980,22.06725308563982,Эконом,0,2,0,1
399,14931742.428502524,2023,75.98446389941071,Люкс,7,5,6,2
400,5369543.936700414,2005,37.686681775046914,Стандарт,1,2,1,1
401,15910512.837511824,2020,79.68058547014294,Люкс,7,7,6,3
