id,Пол,Возраст,Вес,Проффесия,Высшее_образование
236,М,48,94,Тренер по киберспорту,Да
237,М,76,96,Тренер по киберспорту,Да
238,М,58,70,Сантехник,Да
239,М,52,97,Крановщик,Да
240,М,30,47,,Да
241,М,75,84,Тренер по футболу,Да
242,М,72,83,Токарь,Да
243,Ж,257,75,Тренер по футболу,Да
244,Ж,19,51,SMM-специалист,Нет
245,Ж,19,51,SMM-специалист,Нет
246,Ж,19,51,SMM-специалист,Нет
247,Ж,19,51,SMM-специалист,Нет
248,Ж,30,47,Тестировщик,Да
249,Ж,28,70,Data scientist,Да
250,Ж,59,75,Тренер по фитнесу,Да
251,М,26,67,Frontend-разработчик,Да
252,М,50,93,Сварщик,Да
253,М,67,83,Крановщик,Да
254,М,67,83,Крановщик,Да
255,М,71,74,Крановщик,Да
256,М,71,74,Крановщик,Да
257,Ж,79,76,Тренер по футболу,Да
258,М,21,57,,Да
259,М,21,57,,Да
260,М,21,57,,Да
261,М,21,57,,Да
262,Ж,25,52,Фотограф,Нет
263,М,69,88,Маляр,Да
264,М,69,88,Маляр,Да
265,Ж,28,75,Frontend-разработчик,Да
266,Ж,23,1365,Блогер,Нет
267,Ж,28,47,Frontend-разработчик,Да
268,Ж,28,47,Frontend-разработчик,Да
269,Ж,26,72,Data scientist,Да
270,Ж,24,42,Таргетолог,Нет
271,Ж,25,48,Таргетолог,Нет
272,Ж,21,55,Блогер,Нет
273,М,23,41,IOS-разработчик,Да
274,М,23,41,IOS-разработчик,Да
275,М,23,53,Frontend-разработчик,Да
276,М,26,47,Data scientist,Да
277,Ж,21,60,Блогер,Нет
278,М,49,89,Тренер по киберспорту,Да
279,М,49,89,Тренер по киберспорту,Да
280,Ж,53,87,Тренер по фитнесу,Да
281,Ж,20,68,Backend-разработчик,Да
282,Ж,20,68,Backend-разработчик,Да
283,М,20,77,Data scientist,Да
284,М,20,77,Data scientist,Да
285,М,58,98,Маляр,Да
286,М,45,90,Тренер по киберспорту,Да
287,Ж,50,81,Тренер по киберспорту,Да
288,Ж,23,40,SMM-специалист,Нет
289,Ж,23,40,SMM-специалист,Нет
290,М,74,83,Тренер по волейболу,Да
291,М,78,87,Токарь,Да
292,Ж,21,49,SMM-специалист,Нет
293,Ж,77,95,Тренер по фитнесу,Да
294,Ж,77,95,Тренер по фитнесу,Да
295,М,64,87,Сварщик,Да
296,Ж,24,1544,Таргетолог,Нет
297,М,23,47,Data scientist,Да
298,Ж,63,82,Тренер по легкой атлетике,Да
299,Ж,30,80,IOS-разработчик,Да
300,Ж,79,90,Тренер по легкой атлетике,Да
301,Ж,21,60,Тестировщик,Да
302,Ж,21,60,Тестировщик,Да
303,М,70,100,Сварщик,Да
304,М,51,82,Сантехник,Да
305,Ж,19,45,Блогер,Нет
306,Ж,25,52,Frontend-разработчик,Да
307,Ж,25,54,Фотограф,Нет
308,Ж,25,54,Фотограф,Нет
309,Ж,26,86,Backend-разработчик,Да
310,Ж,26,86,Backend-разработчик,Да
311,Ж,30,66,IOS-разработчик,Да
312,Ж,27,56,Backend-разработчик,Да
313,Ж,18,42,Блогер,Нет
314,М,48,93,Токарь,Да
315,М,70,79,Тренер по фитнесу,Да
316,Ж,24,45,Блогер,Нет
317,Ж,24,45,Блогер,Нет
318,Ж,24,45,Блогер,Нет
319,,46,91,Сантехник,Да
320,М,80,91,Сварщик,Да
321,Ж,21,59,Таргетолог,Нет
322,Ж,22,41,SMM-специалист,Нет
323,Ж,24,47,SMM-специалист,Нет
324,Ж,50,76,Тренер по футболу,Да
325,М,22,72,Frontend-разработчик,Да
326,Ж,72,89,Тренер по легкой атлетике,Да
327,Ж,72,89,Тренер по легкой атлетике,Да
328,М,57,71,Тренер по волейболу,Да
329,М,57,71,Тренер по волейболу,Да
330,М,27,49,Backend-разработчик,Да
331,М,28,84,IOS-разработчик,Да
332,М,50,70,Тренер по киберспорту,Да
333,М,60,78,Тренер по легкой атлетике,Да
334,М,60,78,Тренер по легкой атлетике,Да
335,Ж,55,82,Тренер по киберспорту,Да
336,М,53,74,Тренер по футболу,Да
337,,56,82,Маляр,Да
338,,56,82,Маляр,Да
339,М,64,79,Маляр,Да
340,Ж,23,57,Фотограф,Нет
341,Ж,25,67,,Да
342,Ж,25,67,,Да
343,Ж,235,92,Тренер по легкой атлетике,Да
344,М,70,74,Сантехник,Да
345,Ж,28,67,,Да
346,М,56,91,Маляр,Да
347,М,62,72,Крановщик,Да
348,М,62,72,Крановщик,Да
349,М,62,72,Крановщик,Да
350,Ж,18,46,Таргетолог,Нет
351,М,75,80,Тренер по фитнесу,Да
352,М,75,80,Тренер по фитнесу,Да
353,М,27,75,Data scientist,Да
354,Ж,25,47,Копирайтер,Нет
355,М,77,78,Сварщик,Да
356,М,64,74,Тренер по фитнесу,Да
357,М,66,71,Тренер по волейболу,Да
358,М,66,71,Тренер по волейболу,Да
359,Ж,19,48,Фотограф,Нет
360,М,50,81,Тренер по киберспорту,Да
361,М,71,88,Тренер по киберспорту,Да
362,М,20,54,Backend-разработчик,Да
363,М,21,64,,Да
364,М,21,64,,Да
365,Ж,24,57,Копирайтер,Нет
366,Ж,60,70,Тренер по фитнесу,Да
367,Ж,18,51,Таргетолог,Нет
368,М,25,48,,Да
369,Ж,22,55,Копирайтер,Нет
370,Ж,22,55,Копирайтер,Нет
371,М,58,75,Крановщик,Да
372,М,45,73,Сварщик,Да
373,Ж,18,45,Фотограф,Нет
374,Ж,18,42,Копирайтер,Нет
375,М,54,94,Тренер по фитнесу,Да
376,Ж,24,49,SMM-специалист,Нет
377,Ж,24,49,SMM-специалист,Нет
378,Ж,24,49,SMM-специалист,Нет
379,М,47,86,Тренер по волейболу,Да
380,М,78,76,Тренер по легкой атлетике,Да
381,М,59,86,Крановщик,Да
382,Ж,18,60,SMM-специалист,Нет
383,Ж,22,48,Блогер,Нет
384,Ж,20,57,SMM-специалист,Нет
385,Ж,20,57,SMM-специалист,Нет
386,Ж,25,47,Backend-разработчик,Да
387,М,26,70,IOS-разработчик,Да
388,Ж,66,74,Тренер по волейболу,Да
389,Ж,253,84,Тренер по волейболу,Да
390,Ж,62,83,Тренер по легкой атлетике,Да
391,Ж,18,1748,Копирайтер,Нет
392,М,80,93,Маляр,Да
393,,45,100,Токарь,Да
394,Ж,281,79,Тренер по легкой атлетике,Да
395,Ж,29,81,,Да
396,Ж,69,100,Тренер по легкой атлетике,Да
397,Ж,69,100,Тренер по легкой атлетике,Да
398,Ж,69,100,Тренер по легкой атлетике,Да
399,Ж,69,100,Тренер по легкой атлетике,Да
400,Ж,20,55,Копирайтер,Нет
401,М,64,82,Сантехник,Да
402,М,67,86,Тренер по киберспорту,Да
403,М,48,84,Сантехник,Да
404,М,45,87,Крановщик,Да
405,М,77,70,Токарь,Да
406,Ж,20,54,Блогер,Нет
407,Ж,27,79,IOS-разработчик,Да
408,Ж,27,79,IOS-разработчик,Да
409,М,25,60,Тестировщик,Да
410,М,25,60,Тестировщик,Да
411,М,25,60,Тестировщик,Да
412,М,50,82,Сантехник,Да
413,М,20,81,Frontend-разработчик,Да
414,Ж,25,60,Блогер,Нет
415,Ж,65,100,Тренер по легкой атлетике,Да
416,Ж,22,71,Data scientist,Да
417,М,77,81,Токарь,Да
418,Ж,26,69,Backend-разработчик,Да
419,Ж,26,69,Backend-разработчик,Да
420,М,30,41,Backend-разработчик,Да
421,М,56,95,Тренер по футболу,Да
422,М,52,80,Сварщик,Да
423,Ж,24,68,Тестировщик,Да
424,Ж,24,68,Тестировщик,Да
425,М,24,58,Тестировщик,Да
426,М,29,74,Frontend-разработчик,Да
427,М,79,83,Крановщик,Да
428,М,49,81,Маляр,Да
429,М,73,82,Сварщик,Да
430,М,30,80,Тестировщик,Да
431,М,25,40,IOS-разработчик,Да
432,М,67,86,Тренер по фитнесу,Да
433,М,50,98,Тренер по фитнесу,Да
434,М,50,98,Тренер по фитнесу,Да
435,М,50,98,Тренер по фитнесу,Да
436,М,50,98,Тренер по фитнесу,Да
437,М,66,83,Тренер по футболу,Да
438,М,66,83,Тренер по футболу,Да
439,М,29,44,Data scientist,Да
440,М,53,81,Маляр,Да
441,,51,91,Крановщик,Да
442,,51,91,Крановщик,Да
443,Ж,24,40,Копирайтер,Нет
444,Ж,24,48,SMM-специалист,Нет
445,М,55,77,Сантехник,Да
446,Ж,68,83,Тренер по волейболу,Да
447,М,48,82,Токарь,Да
448,Ж,21,86,Data scientist,Да
449,Ж,20,52,Фотограф,Нет
450,Ж,20,52,Фотограф,Нет
451,М,60,99,Тренер по фитнесу,Да
452,М,72,85,Тренер по киберспорту,Да
453,Ж,71,93,Тренер по легкой атлетике,Да
454,Ж,71,93,Тренер по легкой атлетике,Да
455,Ж,71,93,Тренер по легкой атлетике,Да
456,М,74,90,Токарь,Да
457,М,74,90,Токарь,Да
458,М,25,47,Backend-разработчик,Да
459,М,25,47,Backend-разработчик,Да
460,Ж,28,47,Backend-разработчик,Да
461,Ж,28,47,Backend-разработчик,Да
462,Ж,28,47,Backend-разработчик,Да
463,Ж,28,47,Backend-разработчик,Да
464,Ж,20,72,IOS-разработчик,Да
465,М,20,85,Frontend-разработчик,Да
466,М,48,86,Сварщик,Да
467,М,48,86,Сварщик,Да
468,М,29,70,,Да
469,М,75,77,Маляр,Да
470,М,51,74,Маляр,Да
471,М,51,74,Маляр,Да
472,М,61,96,Тренер по фитнесу,Да
473,Ж,23,45,Таргетолог,Нет
474,Ж,66,86,Тренер по волейболу,Да
475,Ж,66,86,Тренер по волейболу,Да
476,М,75,74,Маляр,Да
477,Ж,22,48,Блогер,Нет
478,Ж,56,99,Тренер по киберспорту,Да
479,Ж,21,50,Таргетолог,Нет
480,Ж,24,45,Таргетолог,Нет
481,М,46,94,Токарь,Да
482,Ж,23,51,Фотограф,Нет
483,М,26,89,Тестировщик,Да
484,Ж,24,54,SMM-специалист,Нет
485,Ж,64,73,Тренер по фитнесу,Да
486,М,65,99,Маляр,Да
487,М,21,67,Backend-разработчик,Да
488,М,30,80,IOS-разработчик,Да
489,Ж,19,46,Фотограф,Нет
490,,62,99,Крановщик,Да
491,Ж,29,85,Frontend-разработчик,Да
492,Ж,29,85,Frontend-разработчик,Да
493,Ж,29,85,Frontend-разработчик,Да
494,Ж,24,52,Фотограф,Нет
495,Ж,20,49,Копирайтер,Нет
496,М,61,81,Маляр,Да
497,Ж,19,56,SMM-специалист,Нет
498,Ж,19,56,SMM-специалист,Нет
499,Ж,216,90,Тренер по футболу,Да
500,М,76,85,Тренер по легкой атлетике,Да
501,М,76,85,Тренер по легкой атлетике,Да
502,Ж,68,79,Тренер по киберспорту,Да
503,М,67,84,Токарь,Да
504,М,67,84,Токарь,Да
505,М,67,84,Токарь,Да
506,М,67,84,Токарь,Да
507,М,52,100,Токарь,Да
508,М,52,100,Токарь,Да
509,Ж,22,52,Фотограф,Нет
510,М,63,97,Сантехник,Да
511,М,76,79,Тренер по волейболу,Да
512,М,52,88,Тренер по киберспорту,Да
513,М,52,88,Тренер по киберспорту,Да
514,Ж,63,91,Тренер по волейболу,Да
515,М,28,80,Backend-разработчик,Да
516,Ж,20,57,Тестировщик,Да
517,Ж,20,57,Тестировщик,Да
518,Ж,20,82,IOS-разработчик,Да
519,Ж,21,59,Таргетолог,Нет
520,М,21,40,Тестировщик,Да
521,М,24,71,Тестировщик,Да
522,М,50,87,Тренер по киберспорту,Да
523,М,50,87,Тренер по киберспорту,Да
524,М,77,70,Крановщик,Да
525,М,77,70,Крановщик,Да
526,Ж,25,55,Тестировщик,Да
527,Ж,25,55,Тестировщик,Да
528,Ж,19,56,SMM-специалист,Нет
529,М,62,81,Крановщик,Да
530,Ж,23,1405,Блогер,Нет
531,М,28,44,Data scientist,Да
532,М,28,44,Data scientist,Да
533,М,28,44,Data scientist,Да
534,Ж,76,75,Тренер по футболу,Да
535,М,74,98,Токарь,Да
536,М,74,98,Токарь,Да
537,М,20,43,Frontend-разработчик,Да
538,Ж,24,47,Таргетолог,Нет
539,М,52,80,Тренер по легкой атлетике,Да
540,М,52,80,Тренер по легкой атлетике,Да
541,Ж,20,47,Таргетолог,Нет
542,Ж,60,91,Тренер по футболу,Да
543,Ж,20,40,Таргетолог,Нет
544,Ж,54,74,Тренер по волейболу,Да
545,Ж,54,74,Тренер по волейболу,Да
546,Ж,21,45,IOS-разработчик,Да
547,М,60,97,Сантехник,Да
548,М,28,86,Backend-разработчик,Да
549,Ж,73,77,Тренер по волейболу,Да
550,Ж,73,77,Тренер по волейболу,Да
551,Ж,22,53,Фотограф,Нет
552,Ж,65,74,Тренер по киберспорту,Да
553,М,65,97,Крановщик,Да
554,М,65,97,Крановщик,Да
555,Ж,21,47,SMM-специалист,Нет
556,Ж,23,53,Backend-разработчик,Да
557,Ж,66,82,Тренер по киберспорту,Да
558,Ж,66,82,Тренер по киберспорту,Да
559,Ж,66,82,Тренер по киберспорту,Да
560,Ж,21,65,Тестировщик,Да
561,Ж,22,52,Блогер,Нет
562,Ж,22,52,Блогер,Нет
563,Ж,22,52,Блогер,Нет
564,Ж,24,49,Фотограф,Нет
565,Ж,24,49,Фотограф,Нет
566,Ж,20,53,Таргетолог,Нет
567,М,55,79,Токарь,Да
568,Ж,27,88,IOS-разработчик,Да
569,Ж,24,55,Backend-разработчик,Да
570,М,59,95,Тренер по киберспорту,Да
571,Ж,74,84,Тренер по фитнесу,Да
572,Ж,74,84,Тренер по фитнесу,Да
573,Ж,74,84,Тренер по фитнесу,Да
574,М,26,89,Тестировщик,Да
575,М,27,89,IOS-разработчик,Да
576,М,22,57,Тестировщик,Да
577,М,28,80,IOS-разработчик,Да
578,Ж,22,44,Backend-разработчик,Да
579,Ж,21,87,Data scientist,Да
580,Ж,21,87,Data scientist,Да
581,Ж,21,55,SMM-специалист,Нет
582,Ж,22,44,Таргетолог,Нет
583,Ж,20,55,Фотограф,Нет
584,Ж,79,85,Тренер по легкой атлетике,Да
585,М,68,87,Сварщик,Да
586,М,73,97,Крановщик,Да
587,Ж,20,40,Фотограф,Нет
588,Ж,19,53,Таргетолог,Нет
589,Ж,19,53,Таргетолог,Нет
590,Ж,59,74,Тренер по футболу,Да
591,М,77,90,Маляр,Да
592,Ж,20,60,SMM-специалист,Нет
593,Ж,20,60,SMM-специалист,Нет
594,М,59,83,Токарь,Да
595,Ж,26,54,IOS-разработчик,Да
596,М,48,100,Сантехник,Да
597,М,22,82,IOS-разработчик,Да
598,М,22,82,IOS-разработчик,Да
599,Ж,28,72,Backend-разработчик,Да
600,Ж,23,40,Таргетолог,Нет
601,Ж,23,40,Таргетолог,Нет
602,М,27,54,Тестировщик,Да
603,Ж,23,56,Таргетолог,Нет
604,Ж,23,56,Таргетолог,Нет
605,Ж,23,56,Таргетолог,Нет
606,Ж,23,59,Фотограф,Нет
607,Ж,19,41,Таргетолог,Нет
608,Ж,75,80,Тренер по киберспорту,Да
609,Ж,75,80,Тренер по киберспорту,Да
610,Ж,63,70,Тренер по легкой атлетике,Да
611,М,70,85,Маляр,Да
612,М,79,97,Маляр,Да
613,Ж,46,72,Тренер по легкой атлетике,Да
614,Ж,24,42,Фотограф,Нет
615,Ж,24,53,Фотограф,Нет
616,М,66,91,Сварщик,Да
617,Ж,24,60,SMM-специалист,Нет
618,Ж,24,60,SMM-специалист,Нет
619,М,57,88,Крановщик,Да
620,М,28,67,Тестировщик,Да
621,М,63,78,Тренер по фитнесу,Да
622,М,72,78,Токарь,Да
623,М,72,78,Токарь,Да
624,М,74,89,Тренер по футболу,Да
625,Ж,52,91,Тренер по футболу,Да
626,Ж,52,91,Тренер по футболу,Да
627,Ж,52,91,Тренер по футболу,Да
628,Ж,19,46,Блогер,Нет
629,М,62,72,Сантехник,Да
630,М,67,99,Токарь,Да
631,Ж,24,43,Копирайтер,Нет
632,Ж,20,43,Блогер,Нет
633,Ж,20,61,Frontend-разработчик,Да
634,Ж,25,41,Frontend-разработчик,Да
635,,70,88,Сантехник,Да
636,,70,88,Сантехник,Да
637,,70,88,Сантехник,Да
638,Ж,18,52,Блогер,Нет
639,Ж,18,52,Блогер,Нет
640,Ж,18,52,Блогер,Нет
641,Ж,18,52,Блогер,Нет
642,Ж,20,48,IOS-разработчик,Да
643,Ж,73,81,Тренер по фитнесу,Да
644,Ж,73,81,Тренер по фитнесу,Да
645,Ж,18,57,Блогер,Нет
646,Ж,20,47,Frontend-разработчик,Да
647,Ж,20,47,Frontend-разработчик,Да
648,М,73,76,Сантехник,Да
649,М,56,92,Тренер по легкой атлетике,Да
650,М,50,86,Сварщик,Да
651,М,56,73,Крановщик,Да
652,М,71,78,Сварщик,Да
653,Ж,77,95,Тренер по киберспорту,Да
654,Ж,20,45,SMM-специалист,Нет
655,Ж,20,45,SMM-специалист,Нет
656,Ж,22,43,Фотограф,Нет
657,М,76,82,Сантехник,Да
658,М,76,82,Сантехник,Да
659,Ж,25,46,Копирайтер,Нет
660,Ж,21,50,SMM-специалист,Нет
661,М,30,59,,Да
662,Ж,22,54,Тестировщик,Да
663,Ж,22,45,Таргетолог,Нет
664,Ж,22,45,Таргетолог,Нет
665,,71,80,Сантехник,Да
666,Ж,27,41,Тестировщик,Да
667,М,61,89,Тренер по волейболу,Да
668,М,51,94,Тренер по волейболу,Да
669,М,51,94,Тренер по волейболу,Да
670,М,64,74,Тренер по легкой атлетике,Да
671,Ж,50,93,Тренер по волейболу,Да
672,Ж,25,59,SMM-специалист,Нет
673,Ж,25,59,SMM-специалист,Нет
674,Ж,25,59,SMM-специалист,Нет
675,М,59,88,Тренер по киберспорту,Да
676,М,59,88,Тренер по киберспорту,Да
677,Ж,28,74,Frontend-разработчик,Да
678,М,60,83,Тренер по киберспорту,Да
679,Ж,55,89,Тренер по волейболу,Да
680,Ж,61,76,Тренер по легкой атлетике,Да
681,М,47,88,Тренер по футболу,Да
682,М,80,90,Сварщик,Да
683,М,80,90,Сварщик,Да
684,Ж,48,88,Тренер по легкой атлетике,Да
685,М,66,89,Сантехник,Да
686,,57,99,Сантехник,Да
687,М,61,78,Токарь,Да
688,Ж,30,42,Data scientist,Да
689,М,47,77,Тренер по футболу,Да
690,М,47,77,Тренер по футболу,Да
691,М,61,86,Сварщик,Да
692,Ж,27,87,Тестировщик,Да
693,Ж,27,87,Тестировщик,Да
694,Ж,25,56,Копирайтер,Нет
695,М,27,65,IOS-разработчик,Да
